Code,Description,Code Type,Format Group,Format Subgroup,Category Group,Category Subgroup
namys,NA-Mysteries,ItemCollection,Print,Book,Fiction,
nana,NA-Native American,ItemCollection,Print,Book,Nonfiction,
nanar,NA-Native American - Ref.,ItemCollection,Print,Book,Reference,
nanew,NA-New Adult Books,ItemCollection,Print,Book,Fiction,
nanf,NA-Nonfiction,ItemCollection,Print,Book,Nonfiction,
nanrc,NA-Neighborhood Resource Center,ItemCollection,Print,Book,,
naover,NA-Oversize,ItemCollection,Print,Book,Nonfiction,
napamp,NA-Pamphlets,ItemCollection,Print,,,
napar,NA-Parenting,ItemCollection,Print,Book,Nonfiction,
naparr,NA-Ref Parenting,ItemCollection,Print,Book,,
napb,NA-Paperbacks,ItemCollection,Print,Book,Fiction,
napclb,NA-Computer Lab,ItemCollection,Print,Book,,
napclbr,NA-Computer Lab - Ref.,ItemCollection,Print,Book,Reference,
naper,NA-Periodical,ItemCollection,Print,Periodical,,
napersk,NA-Periodicals - Stack,ItemCollection,Print,Periodical,,
napf,NA-Play File,ItemCollection,Print,,Nonfiction,
napost,NA-Poster,ItemCollection,Media,Art,,
napro,NA-Adult Professional -Ref.,ItemCollection,Print,Book,Reference,
narc,NA-Readers' Corner,ItemCollection,Print,Book,,
narcr,NA-Readers' Corner - Ref.,ItemCollection,Print,Book,Reference,
naread,NA-READ,ItemCollection,Print,Book,,
narec,NA-Phono Records,ItemCollection,Media,Audio Disc,Nonfiction,
naref,NA-Reference,ItemCollection,Print,Book,Reference,
narefsl,NA-Reference Special Location,ItemCollection,Print,Book,Reference,
nasb,NA-Small Business Collection,ItemCollection,Print,Book,,
nasbr,NA-Small Business - Reference,ItemCollection,Print,Book,Reference,
nasf,NA-Sci-Fic/Fantasy,ItemCollection,Print,Book,Fiction,
nasoft,NA-Software,ItemCollection,media,Data Disc,,
nass,NA-Short Stories,ItemCollection,Print,Book,Fiction,
nastk,Stacks - Backroom,ItemCollection,Print,Book,,
nastkr,NA-Stacks - Ref.,ItemCollection,Print,Book,Reference,
nasur,NA-Surplus Storage,ItemCollection,Print,Book,,
natxt,NA-School Textbooks,ItemCollection,Print,Book,Nonfiction,
natxtr,NA-School Textbooks - Reference,ItemCollection,Print,Book,Reference,
navid,NA-Video Adult (VHS),ItemCollection,Media,Video Tape,,
navidg,NA-Video Guides,ItemCollection,Print,Book,Nonfiction,
navidgr,NA-Video Guides-Reference,ItemCollection,Print,Book,Reference,
navidnf,"NA-Video, Nonfiction (VHS)",ItemCollection,Media,Video Tape,Nonfiction,
nawest,NA-Westerns,ItemCollection,Print,Book,Fiction,
ncaa,Afam - Children's Circulating,ItemCollection,Print,Book,Nonfiction,
ncaafam,Afam - Child.Lit.Res/Ref,ItemCollection,Print,Book,Reference,
ncaavid,Afam - Juv. Video,ItemCollection,Media,Video Tape,Fiction,
ncaward,NC-Children's-Newbery/Caldecott,ItemCollection,Print,Book,Fiction,
ncb,NC-Children's Biographies,ItemCollection,Print,Book,Nonfiction,Biography
ncbb,NC-Children's Board Books,ItemCollection,Print,Book,Fiction,Picture
ncbocd,NC-Children's Books on CD,ItemCollection,Media,Audiobook Disc,Fiction,
ncbot,NC-Children's Bks on Tape,ItemCollection,Media,Audiobook Tape,Fiction,
nccas,NC-Children's Cassettes,ItemCollection,Media,Audio Tape,,
nccd,NC-Children's CDs,ItemCollection,Media,Audio Disc,Nonfiction,
nccomic,NC-Children's Comics,ItemCollection,Print,Book,Fiction,Comic
ncdvd,NC-Children's DVDs,ItemCollection,Media,Video Disc,Fiction,
ncdvdnf,"NC-Children's DVD, Nonfiction",ItemCollection,Media,Video Disc,Nonfiction,
nceck,NC-Early Child.Ed.Kit,ItemCollection,Media,Kit,,
ncedu,NC-Educator Shelf,ItemCollection,Print,Book,,
ncef,NC-Easy Fiction,ItemCollection,Print,Book,Fiction,
ncenf,NC-Easy Nonfiction,ItemCollection,Print,Book,Nonfiction,
ncesl,NC-Children's ESL,ItemCollection,Print,Book,,ESL
ncfft,NC-Folk And Fairy Tales,ItemCollection,Print,Book,Nonfiction,
ncfic,NC-Children's Fiction,ItemCollection,Print,Book,Fiction,
ncgold,Goldmark Collection,ItemCollection,Print,Book,,
nchol,NC-Children's Holiday,ItemCollection,Print,Book,Fiction,Holiday
ncholsk,NC-Children's Holiday-STK,ItemCollection,Print,Book,Fiction,Holiday
nckit,NC--Children's Kits,ItemCollection,Media,Kit,,
ncln,NC-Children's Languages,ItemCollection,Print,Book,Language,
nclp,NC-Children's Large Print,ItemCollection,Print,Book,Fiction,Large Print
ncna,NC-Children's Native American,ItemCollection,Print,Book,,
ncnew,NC-Children's New Materials,ItemCollection,Print,Book,Fiction,
ncnf,NC-Children's Nonfiction,ItemCollection,Print,Book,Nonfiction,
ncpb,NC-Children's Paperbacks,ItemCollection,Print,Book,Fiction,
ncper,NC-Children's Magazine,ItemCollection,Print,Periodical,,
ncpic,NC--Children's Picture Books,ItemCollection,Print,Book,Fiction,Picture
ncpro,NC--Children's Professional,ItemCollection,Print,Book,,
ncrdr,NC--Children's Readers,ItemCollection,Print,Book,Fiction,Picture
ncrec,NC-Children's Records,ItemCollection,Media,Audio Disc,Nonfiction,
ncref,NC--Children's Reference,ItemCollection,Print,Book,Reference,
ncseas,NC--Children's Seasonal,ItemCollection,Print,Book,Fiction,Holiday
ncser,NC-Children's Series,ItemCollection,Print,Book,Fiction,
ncsoft,NC-Children's Software,ItemCollection,Media,Data Disc,,
ncspec,NC-Children's Special Collection(s),ItemCollection,Print,Book,,
ncsub,NC--Children's Subject Kits,ItemCollection,Media,Kit,,
nctoy,NC-Children's Toys,ItemCollection,Media,,,
ncvid,NC-Children's Videos,ItemCollection,Media,Video Tape,Fiction,
ncvidnf,"NC-Children's Video, Nonfiction",ItemCollection,Media,Video Tape,Nonfiction,
net,Northeast Branch,Location,,,,
nga,Northgate Branch,Location,,,,
nhy,NewHolly Branch,Location,,,,
nxanal,NA-Analytics Dummy,ItemCollection,Print,,,
nyb,NY-Teen - Biography,ItemCollection,Print,Book,Nonfiction,Biography
nybocd,NY-Teen - Books on CD,ItemCollection,Media,Audiobook Disc,Fiction,
nybot,NY-Teen - Books on Tape,ItemCollection,Media,Audiobook Tape,Fiction,
nycomic,NY-Teen - Comics & Graphic Novels,ItemCollection,Print,Book,Fiction,Comic
nyfic,NY-Teen - Fiction,ItemCollection,Print,Book,Fiction,
nylp,NY-Teen Large Print,ItemCollection,Print,Book,Fiction,Large Print
nynew,NY-Teen - New Books,ItemCollection,Print,Book,Fiction,
nynf,NY-Teen - Nonfiction,ItemCollection,Print,Book,Nonfiction,
nypb,NY-Teen Paperbacks,ItemCollection,Print,Book,Fiction,
nyref,NY-Teen - Reference,ItemCollection,Print,Book,Reference,
nyser,NY-Teen Series,ItemCollection,Print,Book,Fiction,
out,Outreach,Location,,,,
peakfic,Peak Picks Fiction,ItemCollection,Print,Book,Fiction,
peaknf,Peak Picks-Nonfiction,ItemCollection,Print,Book,Nonfiction,
pkbknh,Peak Picks Book,ItemType,Print,Book,Fiction,Peak Picks
pkfic,Peak Picks Fiction,ItemCollection,Print,Book,Fiction,Peak Picks
pknf,Peak Picks-Nonfiction,ItemCollection,Print,Book,Nonfiction,Peak Picks
qas,Storage - Ask At Desk,Location,,,,
qna,Queen Anne Branch,Location,,,,
qsper,QAS Periodicals,ItemCollection,Print,Periodical,,
qspero,QAS Periodicals - Oversize,ItemCollection,Print,Periodical,,
qsref,QAS Reference,ItemCollection,Print,Book,Reference,
rbe,Rainier Beach Branch,Location,,,,
scbk,Online Resource--Children's,ItemCollection,Electronic,,,
scmed,Video Or Dvd: Short Circ Period,ItemType,Media,Video Disc,,
scorder,Kids On Order,ItemCollection,Print,,On Order,
sebk,Online Resource,ItemCollection,Electronic,,,
sedoc,Gov Docs - Online Only,ItemCollection,Electronic,Document,,
seorder,On Order,ItemCollection,Print,,On Order,
spa,South Park Branch,Location,,,,
stak,Unavailable: [do Not Use!!!],Location,,,,
swbib,Catalog,ItemCollection,Print,,,
swbrs,Borrower Services,ItemCollection,Print,,,
swill,Interlibrary Loan,ItemCollection,Print,,Interlibrary Loan,
swper,Remote Annex - Periodicals,ItemCollection,Print,Periodical,,
swprsrv,Preservation,ItemCollection,Print,,,
swser,Serials--Staff Ops. Copy,ItemCollection,Print,,,
swstfop,Staff Operation In Process,ItemCollection,Print,,,
swt,Southwest Branch,Location,,,,
swtest,Test - DO NOT USE,ItemCollection,Print,,,
sxanal,CA-Analytics Dummy,ItemCollection,Print,,,
sxcdr,CD-ROM Analytic - Dummy,ItemCollection,Media,Data Disc,,
sxdmya,DO NOT USE - ACQ Dummy For Serials,ItemCollection,Print,Periodical,,
sxdmyb,"CAT Dummy For Anals,Series,Etc.",ItemCollection,Print,,,
sxper,Branch Periodical Copy Record,ItemCollection,Print,Periodical,,
sybk,Online Resource--Teen,ItemCollection,Electronic,,,
syorder,Teen On Order,ItemCollection,Print,,On Order,
tcs,Tech. & Coll. Srvcs Dept (Central),Location,,,,
ucflpdr,USB Floppy Drive,ItemType,Equipment,,,
ucfold,Uncataloged Folder,ItemType,Print,Kit,,
ucunkn,Uncataloged Material,ItemType,Print,Book,,
ucunknj,Uncataloged Juv Mat,ItemType,Print,Book,,
uni,University Branch,Location,,,,
unk,Unknown collection for item creation,ItemCollection,Print,,,
unk,Unknown itype for item creation,ItemType,Print,,,
unkn,Qas-use Limited To Central Library,ItemCollection,Print,,,
wabk,WTBBL-Standard Book,ItemCollection,Print,Book,,
wal,Wallingford Branch,Location,,,,
walp,WTBBL-Large Print,ItemCollection,Print,Book,,Large Print
walpper,WTBBL--Large Print/Magazine,ItemCollection,Print,Periodical,,Large Print
wcbk,WTBBL--Children's Collection,ItemCollection,Print,Book,,
wlb,Wa Talking Book And Braille Library,Location,,,,
wts,West Seattle Branch,Location,,,,
wylp,WTBBL-Large Print - YA,ItemCollection,Print,Book,,Large Print
xrbk,Part of Book: Analytic Record,ItemType,Print,Book,,
xrcdrom,Part of CD-ROM: Analytic Record,ItemType,Media,Data Disc,,
xrmus,Music Score: Analytic Bound,ItemType,Print,Music Score,,
xrper,Mag Article: Analytic Record,ItemType,Print,Periodical,,
xrvhs,Video (VHS): Analytic Record,ItemType,Media,Video Tape,,
